ObjectId,Date,Value
5,D12/17/1992,-13.66
36,D12/27/1992,-10.96
54,D01/05/1993,-18.06
97,D01/16/1993,-15.16
107,D01/24/1993,-20.96
129,D02/05/1993,-21.06
165,D02/14/1993,-21.76
178,D02/24/1993,-23.06
205,D03/06/1993,-26.36
229,D03/16/1993,-25.86
256,D03/26/1993,-33.86
284,D04/15/1993,-24.56
315,D04/25/1993,-27.76
328,D05/04/1993,-29.86
353,D05/14/1993,-26.36
378,D05/24/1993,-29.66
403,D06/03/1993,-40.06
428,D06/13/1993,-32.66
460,D06/23/1993,-41.96
482,D07/03/1993,-34.26
508,D07/13/1993,-34.16
538,D08/02/1993,-21.86
557,D08/12/1993,-25.86
595,D08/22/1993,-16.26
603,D08/31/1993,-19.86
628,D09/10/1993,-11.76
655,D09/20/1993,-0.56
678,D09/30/1993,0.34
703,D10/10/1993,5.74
730,D10/20/1993,0.14
761,D11/09/1993,5.64
786,D11/19/1993,4.04
811,D11/29/1993,2.24
845,D12/09/1993,0.24
853,D12/18/1993,-5.26
879,D12/28/1993,-6.66
905,D01/07/1994,-15.56
930,D01/17/1994,-21.86
955,D01/27/1994,-27.56
983,D02/06/1994,-21.86
1006,D02/16/1994,-21.36
1037,D02/26/1994,-13.36
1064,D03/08/1994,-17.76
1079,D03/27/1994,-24.76
1103,D04/06/1994,-24.06
1128,D04/16/1994,-27.86
1153,D04/26/1994,-26.56
1178,D05/06/1994,-21.66
1203,D05/16/1994,-17.96
1232,D05/26/1994,-11.76
1258,D06/05/1994,-23.86
1283,D06/15/1994,-28.76
1317,D07/05/1994,-15.86
1328,D07/14/1994,-42.36
1353,D07/24/1994,-39.96
1378,D08/03/1994,-16.86
1403,D08/13/1994,-19.76
1429,D08/23/1994,-20.56
1454,D09/02/1994,-11.56
1480,D09/12/1994,-0.46
1507,D09/22/1994,-1.86
1535,D10/02/1994,12.94
1564,D10/12/1994,3.34
1594,D10/22/1994,6.44
1603,D10/31/1994,3.94
